Gene	NoUVB.1	NoUVB.2	NoUVB.3	UVB-Saline.1	UVB-Saline.2	UVB-Saline.3	UVB-hCOL3A1.1	UVB-hCOL3A1.2	UVB-hCOL3A1.3
ENSMUSG00000036430_Tbcc	21	33	30	25	38	24	37	29	29
ENSMUSG00000036432_Siah2	27	46	44	57	50	47	48	43	49
ENSMUSG00000036435_Exoc1	276	337.55	305.98	350	439.53	356.47	420.14	278.67	280.42
ENSMUSG00000036437_Npy1r	34.62	57	57	33	27	34.49	45	71	27
ENSMUSG00000036438_Calm2	950.97	1741.68	1548.76	1325.26	1507.24	1179.48	1936.47	1930.7	1393.38
ENSMUSG00000036442_Thap11	44	79	63	51	64	32	78	68	51
ENSMUSG00000036446_Lum	268	658	542	237	482	297	748	690	401
ENSMUSG00000036449_Lcn8	0	0	0	0	0	0	0	0	0
ENSMUSG00000036450_Hif1an	157	291	259	249	337	231	313	242	241
ENSMUSG00000036452_Arhgap26	186.61	324.24	245.75	187.02	276.89	332.84	332.45	258.17	299.92
ENSMUSG00000036459_Wtip	33	57	42	55	50	74	72.99	46	46
ENSMUSG00000036461_Elf1	360	650.88	532.32	461.8	633.98	537.01	794.38	560.27	569.96
ENSMUSG00000036463_4930544G11Rik	0	0	0	0	0	0	1	0	0
ENSMUSG00000036466_Megf11	66	83	90	76	106	72	91	80	74
ENSMUSG00000036469_Marchf1	62	83	67	50	84	113	108.9	97	134
ENSMUSG00000036473_Tbc1d24	39	72	73	65	92	68.75	77	77	59.75
ENSMUSG00000036478_Btg1	620	1074	1151	972	1062	902	1128	895	717
ENSMUSG00000036480_Prss56	0	0	0	0	1	0	0	0	0
ENSMUSG00000036492_Rnf39	157	206	173	168	171	94	134	147	88
ENSMUSG00000036499_Eea1	636	1002	1025	933	1152	833	1209	824	860
ENSMUSG00000036500_Akp3	0	0	0	0	0	0	1	0	0
ENSMUSG00000036501_Fam13b	243.4	396.03	436.74	434.86	450.69	415.75	560.78	375.93	375.81
ENSMUSG00000036502_Tmem255a	6	22.28	11	8.08	9.15	7	9	7	9.04
ENSMUSG00000036503_Rnf13	230	371.54	351	269	419.19	250	460	443	312.99
ENSMUSG00000036504_Phpt1	19.95	55.81	11.96	35.66	35.22	13.09	19.12	45.98	40
ENSMUSG00000036510_Cdh8	0	1	2	0	0	0	1	0	1
ENSMUSG00000036513_Commd2	39	54	55	58	77	37	72	60	52
ENSMUSG00000036521_Scgb2b2	0	0	0	0	0	0	0	0	0
ENSMUSG00000036523_Greb1	26	37	27	35.74	26	37	15	61	25
ENSMUSG00000036526_Card11	22	37	64	39	85	123	131	79	137
ENSMUSG00000036528_Ppfibp2	196	265	211	204	260	123	256	192	139
ENSMUSG00000036529_Sbf1	517	705	685	628	850	668	810	539	599
ENSMUSG00000036533_Cdc42ep3	116	133	121.95	114	156.9	112	186.99	145.94	118
ENSMUSG00000036534_Slc38a7	63	121	77	82	118	82	108	113	85
ENSMUSG00000036537_Rnf113a1	7	11	24	17	23	20	21	14	10
ENSMUSG00000036545_Adamts2	628	1109	845	703	1218	1065	1286	1280	1182
ENSMUSG00000036550_Cnot1	966.5	1592.28	1537.51	1438.47	1811.46	1259.2	1895.52	1369.49	1264.78
ENSMUSG00000036551_Akap14	0	0	1	2	1	3	2	1	1
ENSMUSG00000036552_Ermard	162.71	180.34	148.37	164.4	256.2	220.68	311.67	159.23	164.18
ENSMUSG00000036553_Sh3tc1	45	67.76	61.89	50	101.85	78.72	93	78.9	62.83
ENSMUSG00000036555_Iqce	124	208	197	192	224	169	236	191	190
ENSMUSG00000036557_Stpg4	0	2	0	1	0	0	1	0	1
ENSMUSG00000036560_Lgi4	71.62	119.85	95.23	71.8	85.25	103.22	93.72	86.28	61.96
ENSMUSG00000036561_Ppp6r2	218	304	268	265	344	255	359	233	222
ENSMUSG00000036564_Ndrg4	22	38	51	51	66	65	64	70	53
ENSMUSG00000036565_Ttyh3	427	646	444	563	533	323	584	567	396
ENSMUSG00000036568_Bicral	226	368	296	272	361	224	382	361	256
ENSMUSG00000036570_Fxyd1	84	177	72	86	128	84	133	166	105
ENSMUSG00000036572_Upf3b	244	328	312	321	329	252	328	275	269
ENSMUSG00000036574_Tex44	0	0	0	0	0	0	1	0	0
ENSMUSG00000036578_Fxyd7	4	4	7	0	6	5	2	5	3
ENSMUSG00000036580_Spart	236	414	392	341	457	290	490	390	325
ENSMUSG00000036585_Fgf1	64	90	83	63	64	62	110	102	82
ENSMUSG00000036586_Grifin	0	0	0	0	0	0	0	0	0
ENSMUSG00000036587_Fut7	0	3	7	3	3	13	7	5	4
ENSMUSG00000036591_Arhgap21	762	1275	1060	929	1123	899	1429	1170	992
ENSMUSG00000036594_H2-Aa	610	937	1420	483	1104	2060	1183	796	1525
ENSMUSG00000036596_Cpz	82	139	150	72	70	60	130	158	79
ENSMUSG00000036598_Ccdc113	7	6	10	8	11	17	12	8	12
ENSMUSG00000036599_Chst12	90	242	160	128	141	133	209	238	181
ENSMUSG00000036602_Alx1	3	6	3	5	1	1	2	3	0
ENSMUSG00000036606_Plxnb2	1177	1539	1518	1612	1915	1502	1926	1628	1406
ENSMUSG00000036611_Eepd1	143	337	189	89	151	121	199	240	202
ENSMUSG00000036613_Eipr1	35	51	49	78	69	73	63	54	52
ENSMUSG00000036615_Rfxap	38	66	61	57	83	40	82	57	48
ENSMUSG00000036617_Etl4	776.99	1278.96	1155	1104.98	1247.94	966.95	1289.79	1114	977
ENSMUSG00000036620_Mgat4b	106	198	160	136	201	174	218	211	185
ENSMUSG00000036622_Atp13a2	282	381	319	357	435	331	529	400	363
ENSMUSG00000036632_Alg5	56	92	74	80	92	74	83	96	57
ENSMUSG00000036634_Mag	7	17	16	11	15	18	12	12	14
ENSMUSG00000036636_Clcn7	120	165	171	164	215	229	224	185	151
ENSMUSG00000036639_Nudt1	17.95	28	28	22	45	21	25	34	30
ENSMUSG00000036641_Ccdc148	4	10	1	0	6	5	6	1	1
ENSMUSG00000036644_Tbc1d9b	304	523	398	376	548	452	560	490	384
ENSMUSG00000036646_Man1b1	120	156	129	123	211	132	215	184	159
ENSMUSG00000036647_Or6b9	1	0	0	1	0	0	0	0	0
ENSMUSG00000036655_Colec11	3	2	10	0	3	3	8	5	4
ENSMUSG00000036658_Or2b6	0	0	0	1	0	0	0	0	0
ENSMUSG00000036661_Dennd3	41	48	63	47	51	79	71	32	47
ENSMUSG00000036667_Tcaf1	121	252	222	132	225	153	223	263	154
ENSMUSG00000036672_Cenpt	53	72	75	74	76	80	72	70	68
ENSMUSG00000036676_Tmtc3	190.6	339.99	350.44	318.8	420.28	232.49	376.11	333.22	240.91
ENSMUSG00000036678_Aaas	45	86	54	76	84	90	82	81	77
ENSMUSG00000036686_Cc2d1a	215	316	308	279	324	347	341	317	282
ENSMUSG00000036687_Tmem184a	58.25	84.18	97.29	96.23	94.74	44.71	111.21	104.48	59.11
ENSMUSG00000036693_Nop14	181.89	257	247.9	210	241.95	245.81	349.92	251	212
ENSMUSG00000036698_Ago2	801.28	1289.52	1188.97	1208.65	1375.39	1065.79	1474.89	1195.34	1032
ENSMUSG00000036699_Zcchc12	2	0	0	0	5	0	2	2	1
ENSMUSG00000036707_Cab39	525	871	691	780	906	632	976	765	599
ENSMUSG00000036712_Cyld	252	369	364	270	389	449	462	273	356
ENSMUSG00000036718_Micall2	69	105	57	97	66	48	87	84	56
ENSMUSG00000036721_Zscan12	31	41	40.13	55	60.17	41	40	32	22
ENSMUSG00000036731_Cysrt1	18	25	23	31	34	26	19	22	8
ENSMUSG00000036733_Rbm42	89.13	142	113.22	132	150.55	142.03	173.94	159.36	116.54
ENSMUSG00000036737_Oxsr1	207	377	366	356	370	279	459	316	287
ENSMUSG00000036743_Psma8	1	2	3	3	4	2	6	5	2
ENSMUSG00000036744_Or2ag2b	0	0	0	0	0	0	0	0	0
ENSMUSG00000036745_Ttll7	85	132	125	111	144	147	188	100	92
ENSMUSG00000036748_Cuedc2	53	101	107	88.97	99	93	137	129	97.59
ENSMUSG00000036749_Pramel5	0	0	0	0	0	0	0	0	0
ENSMUSG00000036751_Cox6b1	184	360	299	327	368	328	383	394	300
ENSMUSG00000036752_Tubb4b	560	951.73	903.49	849.63	1078	722	1042.46	787.69	654.77
ENSMUSG00000036760_Kcnk9	0	0	0	0	0	0	1	0	0
ENSMUSG00000036764_Dnajc12	3	8	8	6	2	2	6	10	7
ENSMUSG00000036766_Dner	0	0	0	0	1	0	0	0	0
ENSMUSG00000036768_Kif15	112	129	147.02	188	159.01	164.02	203	161.02	114
ENSMUSG00000036769_Wdr44	100	194	164	135	202	166	246	126	168
ENSMUSG00000036770_Stpg3	0	0	0	0	0	1	0	1	0
ENSMUSG00000036775_Decr2	31	56	56	41	62	47	91	56	55
ENSMUSG00000036777_Anln	150	216	234	298	305	305	357	251	219
ENSMUSG00000036779_Tent4b	162	287	309	260	317	232	335	254	231
ENSMUSG00000036781_Rps27l	52	99	86.93	121	89	64	129.91	121.75	76.97
ENSMUSG00000036782_Klhl13	19	38	29	23	37	29	65	51	49
ENSMUSG00000036790_Slitrk2	2	8	6	13	15	3	13	8	7
ENSMUSG00000036792_Mbd5	241	424	429	349	471	355	536.21	346	317
ENSMUSG00000036800_Fam135b	2	7	3	2	2	2	2	1	3
ENSMUSG00000036805_Noxa1	0	0	0	0	0	1	2	0	0
ENSMUSG00000036810_Cnep1r1	64	76	71	80	86	57	103	77	75
ENSMUSG00000036813_Entpd8	0	0	2	2	3	0	0	0	0
ENSMUSG00000036814_Slc6a20a	25.53	52.16	59.11	51.35	82.2	52.19	38.54	43.7	44.49
ENSMUSG00000036815_Dpp10	0	1	2	0	0	3	2	0	2
ENSMUSG00000036816_Atoh7	1	0	0	0	0	0	0	1	0
ENSMUSG00000036817_Sun1	294	436	408	373.75	526	373.3	489.53	403.97	323.54
ENSMUSG00000036819_Jmjd4	83.64	89	107.44	130	118	52	121	116	64.87
ENSMUSG00000036820_Amdhd2	43	62	47	48	61	62	79	62	61
ENSMUSG00000036822_Topors	246	342	350	281	344	272	403	360.96	293
ENSMUSG00000036825_Ssx2ip	168	243.72	238.85	250	283.92	151	265.29	183.65	174
ENSMUSG00000036826_Igflr1	3.8	3.95	13.83	1.6	0	4.75	0	9.32	6.71
ENSMUSG00000036832_Lpar3	28	36	28	28	46	12	41	31	21
ENSMUSG00000036833_Pnpla7	132	178	192	103	226	247	254	197	249
ENSMUSG00000036834_Plch1	0	6	4	0	4	1	3	3	0
ENSMUSG00000036835_Psenen	76	116.21	119	106.57	154	101.95	171.25	132.8	118
ENSMUSG00000036840_Siah1a	73.81	113.61	122.58	128.26	106.33	62.72	125.36	106.48	83.87
ENSMUSG00000036845_Lin37	56	65	69	67	79	90	115	73	61.91
ENSMUSG00000036850_Mrpl41	68	107	141	112	141	93	149	155	104
ENSMUSG00000036853_Mcoln3	22	13	11	35	20	5	13	30	18
ENSMUSG00000036854_Hspb6	114.22	104	93	79	252	108.7	351	389	351
ENSMUSG00000036855_Gjd4	0	0	0	0	0	0	0	0	1
ENSMUSG00000036856_Wnt4	126	247	228	242	277	244	288	201	175
ENSMUSG00000036858_Ptcra	2	1	0	2	3	1	4	1	2
ENSMUSG00000036860_Mrpl55	23	52	43	37	58	33	57	65	48
ENSMUSG00000036862_Dchs1	75.75	152	140.75	109	160.75	154	208	208	146.72
ENSMUSG00000036863_Syde2	109	112	121	88	111	53	93	110	78
ENSMUSG00000036864_Proser3	49.78	62	55	48	79	63.3	72	37	39
ENSMUSG00000036867_Smad6	39	86	53	75	76	43	59	52	33
ENSMUSG00000036872_Abcc12	2	1	0	1	0	0	0	0	0
ENSMUSG00000036873_2410004B18Rik	41	55	75	52	63	47	69	57	54
ENSMUSG00000036875_Dna2	61	66	87	90	80	104	93	69	72
ENSMUSG00000036879_Phkb	150	203	190	203	319	168	298	212	192
ENSMUSG00000036880_Acaa2	247	345	287	325	361	160	391	347	225
ENSMUSG00000036882_Arhgap33	37	67	40	56	81	40	61	60	38
ENSMUSG00000036885_Arhgef26	81	124	134	98	125	61	83.97	78	57.8
ENSMUSG00000036887_C1qa	141	213	178	131	277	400	302	419	394
ENSMUSG00000036890_Gtdc1	64.21	108.32	77	60.36	85.7	61.57	108.48	93.52	73.55
ENSMUSG00000036892_Prodh2	0	0	0	0	0	0	0	0	0
ENSMUSG00000036893_Ehmt1	416	579	585	536	621	488	633	475	419
ENSMUSG00000036894_Rap2b	166	270	276	297	341	288	438	356	282
ENSMUSG00000036896_C1qc	146	212	176	112	222	330	365	409	366
ENSMUSG00000036898_Zfp157	40.38	80.14	72	71.4	78.36	58	88.19	57.68	56.93
ENSMUSG00000036899_Trpv5	0	0	0	0	0	0	0	0	0
ENSMUSG00000036902_Neto2	16	13	21	32	21	14	22	17	22
ENSMUSG00000036904_Fzd8	31	55	43	33	59	37	50	60	52
ENSMUSG00000036905_C1qb	188	326	329	173	327	381	542	578	571
ENSMUSG00000036907_C1ql2	0	0	0	0	0	0	0	0	0
ENSMUSG00000036908_Unc93b1	140	208	188	150	253	357	454	328	386
ENSMUSG00000036912_Piwil4	0	4	4	1	1	2	2	2	0
ENSMUSG00000036913_Trim67	9	18	10	5	13	8	22	11.09	12
ENSMUSG00000036915_Kirrel2	0	0	0	1	0	0	0	0	0
ENSMUSG00000036916_Zfp280c	90	138	131	145	178	156	179	129	122
ENSMUSG00000036918_Ttc7	195	334.92	328	343	408	344	370.91	307	335.81
ENSMUSG00000036921_Tex46	0	0	0	0	0	0	0	0	0
ENSMUSG00000036923_Stox1	36	31	27	25	32	6	26	15	6
ENSMUSG00000036924_Cst13	0	0	1	0	0	0	0	0	0
ENSMUSG00000036925_Mucl2	0	0	0	0	0	0	0	0	0
ENSMUSG00000036928_Stag3	11	15	17	8	16	16	7	10	10
ENSMUSG00000036931_Nfkbid	7	9	16	14	21	28	23	13	20
ENSMUSG00000036932_Aifm1	68	108	106	101	117	104	125	109	98
ENSMUSG00000036934_4921524J17Rik	30	53	52	39	51	29	57	42.97	31.69
ENSMUSG00000036938_Try5	0	0	0	0	0	0	0	0	0
ENSMUSG00000036940_Kdm1a	216	369	315	291	380	266	446	304	263
ENSMUSG00000036941_Elac1	77	126	104	88	116	80	137	70	109
ENSMUSG00000036943_Rab8b	303.82	547	518.44	365.51	501	542	681.81	530.66	509.78
ENSMUSG00000036944_Tmem71	14	21	23	10	22	38	47	19	47
ENSMUSG00000036948_Trappc14	126	166	144	156	215	206	211	144	208
ENSMUSG00000036949_Slc39a12	1	2	0	1	2	1	2	0	1
ENSMUSG00000036951_Aadacl2fm1	73.86	147.8	205.91	164.23	206.5	66.37	222.17	208.56	116.34
ENSMUSG00000036955_Kifbp	116	133.2	136.82	128	155.71	112	151.35	166.54	119.65
ENSMUSG00000036957_Lrfn3	5	12	20	9	9	11	14	14	9
ENSMUSG00000036958_Cst11	0	0	0	0	0	0	0	0	0
ENSMUSG00000036959_Bcorl1	159	278	239	201	286	156	329	246	227
ENSMUSG00000036960_Clca2	346	510	719	349	599	607	398	263	447
ENSMUSG00000036961_Wnt8b	0	0	2	2	1	1	3	3	0
ENSMUSG00000036962_Cfap221	0	1	0	0	0	0	1	1	0
ENSMUSG00000036964_Trim17	8.82	10.48	10.49	12.27	8.64	12.55	20.79	18.56	15.13
ENSMUSG00000036966_Spryd3	72	134	137	120	156	147	169	165	129
ENSMUSG00000036968_Cnpy4	61	117	99	95	83	74	112	108	83
ENSMUSG00000036972_Zic4	15	30.36	18	4	9	3.39	11	13	14
ENSMUSG00000036975_Tmem177	18	16	20	24	28	18	34	32	21
ENSMUSG00000036977_Anapc10	39	56.51	59	68	51.67	49.66	76.62	71	47.8
ENSMUSG00000036980_Taf6	63.59	130.4	130.77	129.02	136.95	105.02	157.99	119.58	97.41
ENSMUSG00000036983_Tfb1m	18	27.45	26	38	49.88	17	35.87	29	32.92
ENSMUSG00000036985_Zdhhc9	165	238	237	213	275	160	296	261	165
ENSMUSG00000036986_Pml	159	230	202	221	306	380	360	329	319
ENSMUSG00000036989_Trim3	145	236	187	164	228	169	218	234	191
ENSMUSG00000036990_Otud4	461	709	689	634	777	642	869	652	667
ENSMUSG00000036992_Nxt1	37	59	63	57	49	32	53	45	35
ENSMUSG00000036995_Asap3	84	110	75	90	99	98	135	95	86
ENSMUSG00000037001_Zfp39	47	94.4	69.35	49	78.77	53.99	107.93	69	62
ENSMUSG00000037003_Tns2	408	859	520	398	611	425	608	671	527
ENSMUSG00000037005_Xpnpep2	16	27	10	30	34	8	30	21	20
ENSMUSG00000037007_Zfp113	57	120	114	105	115	68	120	99	75
ENSMUSG00000037010_Apln	7	6	13	5	16	13	18	11	17
ENSMUSG00000037012_Hk1	276.95	484	428.8	376.78	537.94	571.8	541	543	505
ENSMUSG00000037013_Ss18	402.82	537.69	600.8	523.85	626.61	399.3	723.17	576.34	472.63
ENSMUSG00000037014_Sstr4	3	13	7	7	7	9	14	6	6
ENSMUSG00000037016_Frem2	98	195	215	264	262	114	283	261	164
ENSMUSG00000037017_Zscan21	35	56	74	77	80	62	83	83	63
ENSMUSG00000037020_Wdr62	48.4	81.92	65	69	95.77	65.63	95.64	68.24	65.61
ENSMUSG00000037022_Mmaa	66	105	104	71	87	52	115	68	63
ENSMUSG00000037025_Foxa2	0	1	0	0	0	0	0	0	0
ENSMUSG00000037028_Pramel18	0	0	0	0	0	0	0	0	0
ENSMUSG00000037029_Zfp146	136.53	221.52	243.56	241.71	240.68	172.89	289.2	214.11	196.82
ENSMUSG00000037031_Tspan15	26	56	51	42	58	61	42	44	35
ENSMUSG00000037032_Apbb1	28	54	31	20	32	30	44	32	24
ENSMUSG00000037033_Clca3b	0	0	0	0	0	0	0	2.02	0
ENSMUSG00000037034_Pax1	0	1	2	3	0	0	2	1	0
ENSMUSG00000037035_Inhbb	154	261	266	176	287	254	281	281	276
ENSMUSG00000037049_Smpd1	183	280	246	263	251	168	275	262	205
ENSMUSG00000037053_Azgp1	0	0	0	0	0	0	0	0	0
ENSMUSG00000037058_Paip2	376	519	628	542	614	466	720	606	435
ENSMUSG00000037060_Cavin3	124	274	158	160	220.28	159.67	284	339	169
ENSMUSG00000037062_Sh3glb1	645	1243	1097	893	1181	813	1429	1319	962
ENSMUSG00000037064_Gm5229	0	0	0	0	0	0	0	0	0
ENSMUSG00000037070_Rbmxl1	185	278	252	243	225	192	282	256.7	197.11
ENSMUSG00000037071_Scd1	8108.52	11677.58	12864.95	12107.69	18608.8	10751.08	14885.93	17229.84	13438.49
ENSMUSG00000037072_Selenof	285	613	524	434	537	397	729	708	462
ENSMUSG00000037075_Rnf139	115.5	134	145.26	132.51	160.63	146.64	177.25	166.51	114.16
ENSMUSG00000037085_Trmt12	20	22	33	39	27	26	49	42	18
ENSMUSG00000037086_Prr32	0	2	0	0	0	0	1	0	0
ENSMUSG00000037089_Slc35b2	33	72	66	46	82	66	96	77	61
ENSMUSG00000037095_Lrg1	67.14	305	121.05	177.02	120.01	113.85	100.99	181.99	106.69
ENSMUSG00000037096_Gm9762	2.5	2.38	5.26	3.53	8.38	1.66	8.5	9.3	0
ENSMUSG00000037098_Rab11fip3	204	279	296.86	295	347.99	233	345.54	275	270.21
ENSMUSG00000037101_Ttc29	0	0	0	0	0	0	0	0	0
ENSMUSG00000037103_Dcaf15	48	80	81	77	77	71	101	58	71
ENSMUSG00000037104_Socs5	155	260	300	257	316	238	346	241	223
ENSMUSG00000037106_Fer1l6	4	3	4	0	3	0	4	5	4
ENSMUSG00000037108_Zcwpw1	17.91	32.62	23.56	24.66	23.32	23.28	22.54	21	15.94
ENSMUSG00000037110_Ralgapa2	487	715	648	484	701	440	617	551	460
ENSMUSG00000037111_Setd7	522	978	833.93	780.97	880	698.91	975	822.91	650
ENSMUSG00000037112_Sik2	417.23	955.9	588.15	466.7	786.44	416.59	821.78	723.63	592.51
ENSMUSG00000037119_Fam91a1	309	513	482	455	616	412	562	495	430
ENSMUSG00000037124_Trim58	0	2	0	1	2.01	1	0	0	0
ENSMUSG00000037126_Psd	6	7.67	24.47	19	28.82	9.59	18.44	19.46	15.56
ENSMUSG00000037129_Tmprss13	149	255	283	245	253	176	200.98	209	130
ENSMUSG00000037130_H2-M10.6	0	0	0	0	0	0	0	0	0
ENSMUSG00000037134_Prmt9	70	118	96	106	108	77.42	119	87	96.59
ENSMUSG00000037138_Aff3	251	366	395	308	394	251	426	389	290
ENSMUSG00000037139_Myom3	60	78	49	39	111	57	101	86	115
ENSMUSG00000037140_Tas2r108	1	0	0	0	1	0	0	0	0
ENSMUSG00000037143_Cfap61	0	0	0	0	1	1	2	1	1
ENSMUSG00000037145_Lypd8l	0	0	1	0	0	1	0	0	0
ENSMUSG00000037148_Arhgap10	217.28	366.57	340.22	326.52	398.55	265.44	421.89	345.96	258.03
ENSMUSG00000037149_Ddx1	226	414	324	362	440	318	470	340	275
ENSMUSG00000037151_Lrrc20	78	102	58	100.77	107	36	86	79	49
ENSMUSG00000037152_Ndufc1	12	37	27	36	48	16	30	41	30
ENSMUSG00000037157_Il22ra1	72	94	107	95	118	82	101	77	73
ENSMUSG00000037159_Wee2	1	0	0	0	0	0	0	0	0
ENSMUSG00000037161_Mgarp	0	1	1	0	1	7	5	1	6
ENSMUSG00000037166_Ppp1r14a	20	38	35	22	27	20	31	30	18
ENSMUSG00000037167_Spaca5	0	0	0	0	0	0	0	0	0
ENSMUSG00000037169_Mycn	72	78	104	158	65	45	97	110	55
ENSMUSG00000037171_Nodal	1	0	0	3	4	1	1	2	1
ENSMUSG00000037172_Dennd11	97	152	175	147	197	130	154	127	148
ENSMUSG00000037174_Elf2	357.47	685.83	617.89	484.18	637.45	561.66	740.09	632.37	563.59
ENSMUSG00000037185_Krt80	773	1085	1067	896	1150.7	561	1073	999	703
ENSMUSG00000037188_Grhl3	138	271	317	228	313	408	232	231	216
ENSMUSG00000037190_Cyb561d2	14	18	14	16	14	13	19	22	17
ENSMUSG00000037196_Pacrg	1	0	2	0	0	1	2	1	3
ENSMUSG00000037197_Rbm17	273	426	392	365	405	357	482	335	380
ENSMUSG00000037202_Prf1	6	19	4	2	6	23	24	16	12
ENSMUSG00000037204_Atg101	29	41	40	46	46	34	45	41	32
ENSMUSG00000037206_Islr	35	102	39	28	77	63	124	120	72
ENSMUSG00000037210_Fam193a	621	1009	904	780	1002	730	1137	813	802
ENSMUSG00000037211_Spry1	127.94	183.48	176.06	141	191	104.85	171.97	179	136
ENSMUSG00000037214_Thap1	14	39	29	38	42	38	56	33	37
ENSMUSG00000037216_Lipt1	10	16	19	9	9	12	28	21	18
ENSMUSG00000037217_Syn1	11	15	18	12	19	18	27	16	14
ENSMUSG00000037221_Mospd3	79	257	183	147	168	115	174	183	120
ENSMUSG00000037224_Zfyve28	28	52	41	31	26	41	31	20	28.9
ENSMUSG00000037225_Fgf2	81.36	177.16	94.03	95.7	121.21	100.55	172.77	221.95	128.47
ENSMUSG00000037234_Hook3	855	1320	1271	1133.95	1410	869	1645	1260	1023.97
ENSMUSG00000037235_Mxd4	413	701	657	518.23	686	464	774	645.99	528.73
ENSMUSG00000037236_Matr3	481.6	780.27	825.04	767.54	912.33	754.74	1096.25	800.39	629.2
ENSMUSG00000037239_Spred3	20	23	22	22	35	27	31	27.01	19
ENSMUSG00000037242_Clic4	940	1444	1375	1179	1572	1650	1675	1861	1498
ENSMUSG00000037243_Zfp692	144	145	165	191	171	145	150	110	101
ENSMUSG00000037246_H2-M10.5	0	0	0	0	0	0	0	0	0
ENSMUSG00000037247_Pldi	0	0	0	0	2	0	0	0	0
ENSMUSG00000037251_Pomk	50	74	70	59	78	53	102	94	57
ENSMUSG00000037253_Mex3c	208	263	265	261	314	248	358	312	230
ENSMUSG00000037254_Itih2	0	4	0	2	4	2	2	4	2
ENSMUSG00000037257_Aagab	124	202	179	151	212	177	248	170	170
ENSMUSG00000037259_Dzank1	4	12	9	9	9	11	13	8	4
ENSMUSG00000037260_Hgsnat	51	83	56	47	73	58	92	88	60
ENSMUSG00000037262_Kin	72.98	70	121	95	104	105	123	92	82
ENSMUSG00000037263_Aldh3b3	68.07	84.09	82.3	104.05	80.57	54.12	81.07	82.17	64.63
ENSMUSG00000037266_Rsrp1	1131	1688	1759	1463	2128	1487	1908	1127	1372
ENSMUSG00000037270_Bltp1	1140	1772	1654	1529	2069	1602	2039	1322	1448
ENSMUSG00000037275_Gemin5	132	204	171	187	225	150	245	173	167
ENSMUSG00000037278_Tmem97	35.83	39	48	48	93.69	46	66	47	61
ENSMUSG00000037279_Ovol2	16	17	11	8	14	6	20	8	11
ENSMUSG00000037280_Galnt6	130.91	202.99	218	195.6	245.9	325.96	240.96	212.95	199
ENSMUSG00000037286_Stag1	411	620	585	568	647	569	747	526	440
ENSMUSG00000037287_Tbcel	115	149	133	135	142	143	201	140	132
ENSMUSG00000037295_Ldlrap1	189	290	249	297	347	237	335	293	227
ENSMUSG00000037296_Lsm1	25	70	63	43	60	44	61	62	52
ENSMUSG00000037300_Ttc13	173	236	233	253	260.27	226	334	200	196
ENSMUSG00000037306_Man1c1	73	183	145	114	223	177	257	209	229
ENSMUSG00000037307_Banf2	0	0	0	0	0	0	0	0	0
ENSMUSG00000037313_Tacc3	67	108.36	95	131.26	115	113	143.55	90	92
ENSMUSG00000037315_Jade3	35	86	86	58	80	43	77	62	50
ENSMUSG00000037316_Bag4	100.54	193.94	164.96	178.96	200.9	104.69	193.84	180.9	173.41
ENSMUSG00000037318_Traf3ip3	18.5	30.37	36.79	24.3	41.19	86.45	73.46	30.79	61.19
ENSMUSG00000037321_Tap1	460.63	451.93	569.35	505.71	599.59	1352.22	736.85	587.84	854.82
ENSMUSG00000037325_Bbs7	37	43	34	47	38	31	70	47	32
ENSMUSG00000037326_Capn15	196.83	267	254.66	293	304.48	204.82	270	253	222
ENSMUSG00000037331_Larp1	1006.89	1794.71	1483.88	1595.86	1753.72	1543.59	1903.23	1563.83	1411.79
ENSMUSG00000037334_H2-M1	0	0	0	0	0	0	0	0	0
ENSMUSG00000037335_Hand1	0	0	1	0	0	2	1	0	3
ENSMUSG00000037336_Mfsd2b	5	20	14	15	20	7	18	16	15
ENSMUSG00000037337_Map4k1	32	51	55	32	67	76	79	58	69
ENSMUSG00000037339_Fam53a	93	121	119	86	156	125	138	110	117
ENSMUSG00000037341_Slc9a7	11	14	23	6	11	26	11	13	17
ENSMUSG00000037343_Taf2	159	277	251	213	285	200	324	180	192
ENSMUSG00000037344_Slc12a9	59	81	68	61	72	83	84	47	67
ENSMUSG00000037346_Hrh4	1	1	3	0	3	1	2	2	2
ENSMUSG00000037347_Chst7	9	13	6	3	14	20	17	17	15
ENSMUSG00000037348_Paqr7	241	390	455	252	113	57	531	552	183
ENSMUSG00000037349_Nudt22	13	30	13	17	19	21	22	26	29
ENSMUSG00000037351_Actr1b	295	370	389	341	386	311	404	390	301
ENSMUSG00000037353_Letmd1	82	136	94	105	128	91	124	99	78
ENSMUSG00000037355_Uvssa	439	560	521	435	576	419	635	440	443
ENSMUSG00000037358_Dipk2b	25	67	59	39	65	37	53	48	43
ENSMUSG00000037361_Sf3b6	165	295	305	230	277	183	334	348	246
ENSMUSG00000037362_Ccn3	51	173	107	73	208	151	289	314	225
ENSMUSG00000037363_Letm2	24.57	45.55	49.14	29.35	42.9	23	56.06	47	52.85
ENSMUSG00000037364_Srrt	794	1189	1158	994.48	1135	1086	1215	811	860.46
ENSMUSG00000037366_Pafah2	42	71	75	91	120	62	100	69	60
ENSMUSG00000037369_Kdm6a	416	749	726	567	830	571	744	555	641
ENSMUSG00000037370_Enpp1	118	170	155	198	189	98	236	173	128
ENSMUSG00000037373_Ctbp1	378	571	533	491	584	528	704	526	500
ENSMUSG00000037375_Hhat	30	24	35	23	36	24	55	26	30
